Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
hair-moisturizing-lotion,,,,,,,,Gallon,,,,,,,deny,manual,85.00,,true,true,,,,
argan-oil-hair-locks-butter,Argan oil Hair & Locks Butter,"<p>Argan Oil Hair &amp; Lock Balm will moisturize, and add manageability to your twist and locks. It will leave your hair a soft and silky shine.</p>
<p><strong>Purpose:</strong></p>
<ol>
<li>Moisturizing and reducing frizz;</li>
<li>Twisting and locking hair &amp; new roots;</li>
<li>Grooming curly, and hard to tame hair.</li>
</ol>
<p><strong>Hair type:</strong> Curly, wavy, dreadlocks</p>
<p><strong>Texture:</strong> Thick cream consistency</p>
<p><strong>Aroma:</strong> Butterscotch essential oil</p>
<p><strong>What it does not contain: </strong>No mineral oil, petrolatum, silicone, parabens, propylene, DEA, sulfates, fragrance.</p>
<p><strong>The Direction for Use: </strong>You may apply to wet or dry hair and scalp. Comb hair, twist, or lock as appropriate.</p>
<p><strong>Ingredients: </strong>De-ionized water, Theobroma Cacao (Cocoa) Seed Butter,  Argania Spinsosa (Argan) Oil  Simmondsia Chinesis (Jojoba) Seed Oil, Ricinus Communis (Castor) Oil, Butyrospermum Parkii (Shea Butter), Vegetable Glycerin,<strong> </strong>Vitis Vinifera Grapeseed Oil, Glyceryl Mono Stearate, Camellia Sinensis (Japanese Green Tea) Leaf Extract, Vitamin B, Allantoin, Tocopherol (Vitamin E), Ascorbic Acid (Vitamin C), Stearic Acid, Potassium Sorbate, Natural Beeswax (Cera Alba),  Emulsifying Wax NF, Essential Oil (Butterscotch)</p>",All Naturals Cosmetics,Family Hair Care,"Family Hair Care, Hair oils / Lotions & Sprays",true,Title,Default Title,,,,,,,deny,manual,15.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/argon_oil_locks_balm1.jpg,1,Argan oil Hair & Locks Butter,active
argan-oil-hair-locks-butter,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/argon_oil_locks_balm2.jpg,2,Argan oil Hair & Locks Butter,
argan-oil-hair-locks-butter,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/argon_oil_locks_balm4.jpg,3,Argan oil Hair & Locks Butter,
argan-oil-hair-locks-butter,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/argon_oil_locks_balm3.jpg,4,Argan oil Hair & Locks Butter,
argan-oil-hair-locks-butter,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/argon_oil_locks_balm5.jpg,5,Argan oil Hair & Locks Butter,
argan-oil-hair-locks-butter,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/Argan-oil-Hair-Locks-Balm_1.jpeg,6,Argan oil Hair & Locks Butter,
shea-feet-butter,Shea Feet Butter,"<p>Our Shea Feet Butter is lightly-minted and made with Shea Butter and Coconut oil to:</p>
<ol>
<li>Aid diabetic feet care;</li>
<li>Support muscle relation;</li>
<li>Revive and rejuvenate dry, neglected feet;</li>
<li>Nurtures cracked feet skin back to life;</li>
<li>Soften hard, coarse, feet skin.</li>
</ol>
<p><strong>The Direction for Use: </strong>For daily use, wash feet and massage feet including toes with Shea feet butter. For a deep feet treatment, soak feet in warm water for 15-20 minutes and rub gently with a pumice stone or scrub. Massage Shea Feet Butter into feet, paying close attention to heels and calloused skin. Then cover feet with cotton socks overnight to soothe and seal in moisture.</p>
<p><strong>INCI Ingredients</strong>: Butyrospermum Parkii (Shea Butter,<span lang=""EN""> Olea europaea (olive fruit oil), Cocos nucifera (coconut oil), Rosmarinus officinalis (rosemary leaf extract), Canola oil, Tocopherol, Glycine soja (soybean) oil, Mentha Piperita (Peppermint) oil, Meadowfoam oil.</span></p>",All Naturals Cosmetics,Bulk-Bath & Body,Bulk-Bath & Body,true,Size,8.8lbs,,,,,,,deny,manual,120.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/shea-feet-butter_50.jpg,1,Shea Feet Butter,active
shea-feet-butter,,,,,,,,25lbs,,,,,,,deny,manual,260.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/bulk-bath-amp-body/Shea-Feet-Butter_25.jpg,2,Shea Feet Butter,
shea-feet-butter,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/bulk-bath-amp-body/Shea-Feet-Butter_8.jpg,3,Shea Feet Butter,
argan-oil-shampoo-25lb-size-25lb,Argan Oil Shampoo,"<p>Shea “All Naturals”  Argan oil Shampoo is SLES, SLS, Paraben-free, and is rich in naturally occurring Omega-3,6 and 9 and essential fatty acids (from Argan oil). It offers some protection against day-to-day styling, renewing, restoring, and strengthening all hair types.</p>
<p><strong>Purposes:</strong></p>
<ol>
<li>It helps repair damaged strands and split ends;</li>
<li>It leaves hair feeling strong, soft, and shiny.</li>
</ol>
<p><strong>The Directions for Use: </strong>Apply shampoo to wet hair and massage it into the scalp, and through the roots to the ends for a thorough cleansing. Rinse off and repeat if needed. Follow with Shea “All Naturals” Argan Oil Conditioner.</p>
<p>Warning: Avoid contact with eyes. If contact occurs rinse immediately.</p>
<p><strong>Hair Types: </strong>Fine, medium, coarse</p>
<p><strong>Hair Textures:</strong> curly, wave, kinky, natural, straight</p>
<p><strong>Hair Conditions:</strong>  Dry, oily, damaged, brittle, breaking, split ends, healthy, chemically- and color-treated.</p>
<p><strong>Product Texture: </strong>Gel-like</p>
<p><strong>Aroma:</strong> Butterscotch</p>
<p><strong>What it does not contain:</strong> <strong>No</strong> paraben, mineral oil, petrolatum, sulfates, phthalates, dyes, silicone, and gluten.</p>
<p><strong>Ingredients: </strong>Aqua, Decyl Glucoside, Sodium Lauroyl Lactylate, Stearic acid, Argania Spinosa Kernel Oil (Argan oil), Chamomile Recutita Matricaria Flower Extract (Chamomile), Hectorite (clay), Hydroxyethylcellulose, Potassium Sorbate, Citric Acid.</p>",All Naturals Cosmetics,Bulk-Shampoos & Conditioners,"Bulk-Shampoos & Conditioners, Spas & Salons",true,Size,50lbs,,,,,,,deny,manual,250.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/Argan-Oil-Shampoo.png,1,Argan Oil Shampoo,active
argan-oil-shampoo-25lb-size-25lb,,,,,,,,25lbs,,,,,,,deny,manual,175.00,,true,true,,,,
argan-oil-shampoo-25lb-size-25lb,,,,,,,,Gallon,,,,,,,deny,manual,120.00,,true,true,,,,
100-pure-shea-butter,100% Pure Shea Butter,"<p>It has been proven<strong> to reduce the appearance of skin conditions</strong> such as eczema, stretch marks, acne scarring, bumps, boils, blemishes, scars, symptoms of psoriasis, sunburn, ringworm, scaly skin, dry &amp; itchy skin conditions, damaged cuticle, weak nails, rashes including diaper rash, uneven skin tone, cold sores, superficial bedsores and wounds, wrinkles, lines, and other skin conditions.</p>
<p>Lanre of All Naturals testified that Shea Butter is called and seen as the Tree of Life by the people of Nigeria, West Africa; where this company used to own a Shea Butter farm. The Shea Butter is used in cooking their food, on their skin, hair, and even eaten raw! Of course, it could be eaten raw as Shea Butter has naturally occurring <strong>Vitamin A, B, C, D, E, F, and K</strong>. It also boasts of <strong>Iron, Calcium, and Protein.</strong></p>
<p>The communities that use this butter in their daily skin and hair regimen have been able <strong>to retain a fresher, younger look, firmer beautiful blemish-free skin, and lustrous healthy hair growth.</strong> All of these have been attributed to the properties naturally occurring only in the pure, organic <strong>100% Shea Butter </strong>that we offer our customers! Our brand does not contain perfume, chemicals, preservatives, or dyes and it is unparallel in its healing and protection properties.</p>
<p>The Pure Shea Butter is the favorite of many as it helps <strong>to rejuvenate &amp; restore the skin’s natural elasticity.</strong> Pure Shea butter is an <strong>excellent facial moisturizer</strong>. It actually helps <strong>to reduce the appearance of wrinkles, lines, sagging skin, age spots, and other signs of aging.</strong> It is definitely ideal for most skins including sensitive and <strong>baby skin.</strong></p>
<p><span lang=""EN""><strong>Note</strong>:</span></p>
<ol>
<li><span lang=""EN"">Keep unused Shea Butter in a cool and dark place. </span></li>
<li><span lang=""EN"">Shea Butter marketed by All Naturals Inc. comes from trees that are not cultivated, grown, fertilized nor plasticized; hence our 100% Natural/Unrefined Shea Butter is also 100% organic.</span></li>
<li>The color of this product may vary from creamy ivory to light yellow.</li>
</ol>
<p><span lang=""EN""><strong>INCI Ingredients</strong>: </span>Butyrospermum Parkii (<span lang=""EN"">100% Unrefined / Organic Shea Butter)</span></p>
<p><strong>Direction for Use</strong>: After hand or body washing, rub between the palms and <strong>apply on the skin.</strong> This product can be used day or night and it is definitely a must in the Fall and Winter Seasons as it shields the skin from the harsh cold weather while depositing essential nutrients including Calcium and Vitamin D into the skin.</p>",All Naturals Cosmetics,Bulk-Bath & Body,"Bulk-Bath & Body, Raw Materials",true,Size,50lbs,,,,,,,deny,manual,550.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/100-Pure-Shea-Butter.png,1,100% Pure Shea Butter,active
100-pure-shea-butter,,,,,,,,5lbs,,,,,,,deny,manual,75.00,,true,true,,,,
100-pure-shea-butter,,,,,,,,25lbs,,,,,,,deny,manual,300.00,,true,true,,,,
argan-oil-shampoo,Argan Oil Shampoo,"<p>Shea &#8220;All Naturals&#8221;  Argan oil Shampoo is SLES, SLS, Paraben-free, and is rich in naturally occurring Omega-3,6 and 9 and essential fatty acids (from Argan oil). It offers some protection against day-to-day styling, renewing, restoring, and strengthening all hair types.</p>
<p><strong>Purposes:</strong></p>
<ol>
<li>It helps repair damaged strands and split ends;</li>
<li>It leaves hair feeling strong, soft, and shiny.</li>
</ol>
<p><strong>The Directions for Use: </strong>Apply shampoo to wet hair and massage it into the scalp, and through the roots to the ends for a thorough cleansing. Rinse off and repeat if needed. Follow with Shea &#8220;All Naturals&#8221; Argan Oil Conditioner.</p>
<p>Warning: Avoid contact with eyes. If contact occurs rinse immediately.</p>
<p><strong>Hair Types: </strong>Fine, medium, coarse</p>
<p><strong>Hair Textures:</strong> curly, wave, kinky, natural, straight</p>
<p><strong>Hair Conditions:</strong>  Dry, oily, damaged, brittle, breaking, split ends, healthy/normal, chemically- and color-treated.</p>
<p><strong>Product Texture: </strong>Gel-like</p>
<p><strong>Aroma:</strong> Butterscotch</p>
<p><strong>What it does not contain:</strong> <strong>No</strong> paraben, mineral oil, petrolatum, sulfates, phthalates, dyes, silicone, and gluten.</p>
<p><strong>Ingredients: </strong>Aqua, Decyl Glucoside, Sodium Lauroyl Lactylate, Stearic acid, Argania Spinosa Kernel Oil (Argan oil), Chamomile Recutita Matricaria Flower Extract (Chamomile), Hectorite (clay), Hydroxyethylcellulose, Potassium Sorbate, Citric Acid.</p>
<p>For bulk purchase, <a href=""https://allnaturalscosmetics.com/product/argan-oil-shampoo-25lb-size-25lb/"">go here</a></p>",All Naturals Cosmetics,Family Hair Care,"Family Hair Care, Shampoos & Cleansers",true,Title,Default Title,,,,,,,deny,manual,13.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/aos1.jpg,1,Argan Oil Shampoo,active
argan-oil-shampoo,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/aos2.jpg,2,Argan Oil Shampoo,
argan-oil-shampoo,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/aos3.jpg,3,Argan Oil Shampoo,
argan-oil-conditioner-gallon,Argan Oil Conditioner,"<p>Shea “All Naturals” <strong>Argan Oil Conditioner</strong> is rich in essential fatty acids and natural emollients to reduce dryness. Its nutrients saturate hair cuticles, roots, and tips, making your hair soft, healthy, and beautiful.</p>
<p><strong>Purpose: </strong>To deep-condition your hair, protecting it against <span lang=""EN"">the damaging effects of heat styling and over-processing, </span>split ends, and weather stressors.</p>
<p><strong>Hair Types:</strong> All hair types and textures (curly, wave, kinky, natural, chemically-treated, and colored)</p>
<p><strong>Hair Conditions:</strong> Dry, damaged, brittle, breaking, split ends, healthy/normal</p>
<p><strong>Product Texture:</strong> Creamy</p>
<p><strong>Aroma:</strong> Butterscotch</p>
<p><strong>What it does not contain:</strong> <strong>No</strong> paraben, mineral oil, petrolatum, sulfates, phthalates, dyes, silicone, and gluten. Non-comedogenic,<strong> Not</strong> tested on animals.</p>
<p><strong>The Direction for Use: </strong>Apply to wet hair after shampooing with the Shea “All Naturals” Argan Oil Shampoo, massage thoroughly and comb from the roots to the tips for deep-root conditioning. Rinse off and follow with Shea “All Naturals” 100% organic Argan Oil. Apply the oil on the scalp and hair for beautiful, well-nourished hair. You may also apply other preferred hair styling products. Style as usual.</p>
<p><strong>Ingredients: </strong>Aqua, Cetearyl Alcohol (oil derived), Cetyl Alcohol (oil derived), Capric/Caprylic Triglycerides, Vegetable Glycerin, Stearic acid, Argania Spinosa Kernel Oil (Argan Oil), Cocoa butter, Shea butter, Xanthan Gum, Potassium Sorbate, Citric Acid, Essential oil (Butterscotch).</p>",All Naturals Cosmetics,Bulk-Shampoos & Conditioners,"Bulk-Shampoos & Conditioners, Spas & Salons",true,Size,50lbs,,,,,,,deny,manual,295.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/Argan-Oil-Conditioner.png,1,Argan Oil Conditioner,active
argan-oil-conditioner-gallon,,,,,,,,25lbs,,,,,,,deny,manual,100.00,,true,true,,,,
argan-oil-conditioner-gallon,,,,,,,,Gallon,,,,,,,deny,manual,125.00,,true,true,,,,
argan-oil-conditioner,Argan Oil Conditioner,"<p>Shea &#8220;All Naturals&#8221; <strong>Argan Oil Conditioner</strong> is rich in essential fatty acids and natural emollients to reduce dryness. Its nutrients saturate hair cuticles, roots, and tips, making your hair soft, healthy, and beautiful.</p>
<p><strong>Purpose: </strong>To deep-condition your hair, protecting it against <span lang=""EN"">the damaging effects of heat styling and over-processing, </span>split ends, and weather stressors.</p>
<p><strong>Hair Types:</strong> All hair types and textures (curly, wave, kinky, natural, chemically-treated, and colored)</p>
<p><strong>Hair Conditions:</strong> Dry, damaged, brittle, breaking, split ends, healthy/normal</p>
<p><strong>Product Texture:</strong> Creamy</p>
<p><strong>Aroma:</strong> Butterscotch</p>
<p><strong>What it does not contain:</strong> <strong>No</strong> paraben, mineral oil, petrolatum, sulfates, phthalates, dyes, silicone, and gluten. Non-comedogenic,<strong> Not</strong> tested on animals.</p>
<p><strong>The Direction for Use: </strong>Apply to wet hair after shampooing with the Shea &#8220;All Naturals&#8221; Argan Oil Shampoo, massage thoroughly and comb from the roots to the tips for deep-root conditioning. Rinse off and follow with Shea &#8220;All Naturals&#8221; 100% organic Argan Oil. Apply the oil on the scalp and hair for beautiful, well-nourished hair. You may also apply other preferred hair styling products. Style as usual.</p>
<p><strong>Ingredients: </strong>Aqua, Cetearyl Alcohol (oil derived), Cetyl Alcohol (oil derived), Capric/Caprylic Triglycerides, Vegetable Glycerin, Stearic acid, Argania Spinosa Kernel Oil (Argan Oil), Cocoa butter, Shea butter, Xanthan Gum, Potassium Sorbate, Citric Acid, Essential oil (Butterscotch).</p>
<p>For bulk purchase, <a href=""https://allnaturalscosmetics.com/product/argan-oil-conditioner-gallon/"">go here</a></p>",All Naturals Cosmetics,Family Hair Care,"Family Hair Care, Treatments & Conditioners",true,Title,Default Title,,,,,,,deny,manual,15.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/aoc1.jpg,1,Argan Oil Conditioner,active
argan-oil-conditioner,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/aoc3.jpg,2,Argan Oil Conditioner,
argan-oil-conditioner,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/aoc2.jpg,3,Argan Oil Conditioner,
argan-oil-conditioner,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/aoc4.jpg,4,Argan Oil Conditioner,
cocoa-butter,Cocoa Butter,"<p>Our Organic Cocoa Butter is a self-preserving oil essential in:</p>
<ol>
<li>Reducing symptoms of exposure to harsh weather conditions;</li>
<li>Preventing stretch-marks during pregnancy;</li>
<li>Rejuvenating and keeping skin supple;</li>
<li>Improving skin elasticity and health;</li>
<li>Reducing appearance of signs of aging.</li>
</ol>
<p><strong>The Direction for Use: </strong>Wash with your favourite bar or wash, pat dry and rub Cocoa butter all over. Cocoa butter can also be melted (on stove top) and add to your preferred liquid oil to improve spread-ability.</p>
<p><strong>Ingredient: </strong> Theobroma Cacao (Organic Cocoa) Seed butter</p>
<p><strong>Shelf Life:</strong> It contains natural antioxidants that prevent rancidity, and has a long shelf life. Some estimates put it at between 2 and 5 years in a cool, dry place.</p>",All Naturals Cosmetics,Bulk-Bath & Body,"Bulk-Bath & Body, Raw Materials",true,Size,50lbs,,,,,,,deny,manual,850.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/cocoa_butter.png,1,Cocoa Butter,active
cocoa-butter,,,,,,,,25lbs,,,,,,,deny,manual,475.00,,true,true,,,,
cocoa-butter,,,,,,,,5lbs,,,,,,,deny,manual,100.00,,true,true,,,,
shea-butter-shampoo,Shea Butter Shampoo,"<p>Our <strong>Shea Butter+Black soap Shampoo</strong> will gently yet deeply cleanse your scalp and hair. Formulated with enriching moisturizers including 100% organic shea butter, this cleanser will renew, hydrate, and improve hair manageability.  The Chamomile in the shampoo will calm while the Japanese Green Tea will revitalize and open your pores to a breathable environment for healthy hair growth.  This shampoo works well with both healthy and damaged hair and a trial could make you keep washing all week long!</p>
<p><strong>Purpose:</strong></p>
<ol>
<li>Deeply cleanses and conditions your hair and scalp;</li>
<li>Imparts moisturize to your hair for beautiful, soft tresses;</li>
<li>Reduces dry, itchy scalp conditions.</li>
</ol>
<p><strong>Hair Types: </strong>Fine, medium, coarse</p>
<p><strong>Hair Textures:</strong> curly, wave, kinky, natural, straight</p>
<p><strong>Hair Conditions:</strong>  Dry, oily, damaged, brittle, breaking, split ends, healthy, chemically- and color-treated.</p>
<p><strong>Product Texture: </strong>Honey-like</p>
<p><strong>Aroma:</strong> Peppermint</p>
<p><strong>What it does not contain:</strong> <strong>No</strong> paraben, mineral oil, petrolatum, sulfates, phthalates, dyes, silicone, and gluten.</p>
<p><strong>The Direction for Use: </strong>Apply to wet hair and massage from roots to hair ends, concentrating on the ends and the scalp. Rinse thoroughly and repeat if necessary. Follow with Shea butter Treatment Conditioner.</p>
<p><strong>Ingredients</strong>:   De-ionized water, African Black Soap, Coco-Glucoside, Sodium Cocoate, Potassium Olivate, Sucrose Cocoate, Butyrospermum Parkii (Shea Butter), Vitamin E, Chamomile Recutita (Matricaria) Flower Extract, (Chamomile), Carmelia Sinesis (Japanese Green Tea) leaf extract, Peppermint.</p>
<p><strong>Size</strong>: 12oz/355ml</p>
<p>For bulk purchase,<a href=""https://allnaturalscosmetics.com/product/black-soap-shampoo-2/""> go here</a></p>",All Naturals Cosmetics,Family Hair Care,"Family Hair Care, Shampoos & Cleansers",true,Title,Default Title,,,,,,,deny,manual,13.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/sbs3.jpg,1,Shea Butter Shampoo,active
shea-butter-shampoo,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/sbs1.jpg,2,Shea Butter Shampoo,
shea-butter-shampoo,,,,,,,,,,,,,,,,,,,,,https://allnaturalscosmetics.com/wp-content/uploads/sbs2.jpg,3,Shea Butter Shampoo,
